Nome do Estudante,Matemática - Prova,Matemática - Simulado,Linguagens - Prova,Linguagens - Simulado,Ciências Humanas - Prova,Ciências Humanas - Simulado,Ciências da Natureza - Prova,Ciências da Natureza - Simulado,Redação - Prova,Redação - Simulado
Estudante_001,402,434,447,789,716,714,444,355,849,847
Estudante_002,735,500,788,685,467,744,384,825,371,460
Estudante_003,570,332,850,403,342,481,377,773,212,356
Estudante_004,406,347,637,692,855,466,756,327,367,246
Estudante_005,371,802,772,545,584,390,300,377,841,523
Estudante_006,320,706,450,475,696,830,350,515,795,884
Estudante_007,421,873,714,338,311,338,745,685,520,329
Estudante_008,766,398,597,776,601,425,748,664,518,610
Estudante_009,514,846,562,837,552,750,787,825,812,294
Estudante_010,630,761,443,707,798,472,333,611,528,826
Estudante_011,758,304,645,824,334,519,647,306,984,954
Estudante_012,387,517,871,805,389,357,394,302,976,491
Estudante_013,672,802,301,335,717,775,371,662,749,993
Estudante_014,399,697,603,319,414,755,850,807,618,482
Estudante_015,430,692,553,620,495,660,453,573,805,268
Estudante_016,608,506,752,811,800,300,549,805,294,859
Estudante_017,643,314,336,699,792,686,737,314,780,210
Estudante_018,791,853,459,770,374,647,417,491,517,453
Estudante_019,713,760,308,442,712,489,605,784,435,749
Estudante_020,685,874,532,391,675,804,567,327,533,333
Estudante_021,491,540,398,653,719,490,353,338,575,911
Estudante_022,576,863,507,350,576,807,535,572,658,222
Estudante_023,460,395,430,874,693,668,688,530,336,545
Estudante_024,759,784,703,489,756,708,700,385,787,501
Estudante_025,613,706,451,424,491,416,602,773,746,562
Estudante_026,321,530,353,449,398,433,506,425,712,595
Estudante_027,552,470,419,613,847,357,528,836,495,417
Estudante_028,860,840,886,869,395,855,877,444,519,340
Estudante_029,774,335,719,641,489,472,374,824,771,815
Estudante_030,358,824,721,604,336,448,734,511,548,409
Estudante_031,810,459,403,353,668,379,402,324,978,822
Estudante_032,775,542,553,743,824,512,721,879,428,815
Estudante_033,489,385,526,563,578,502,605,693,469,882
Estudante_034,862,877,411,352,516,528,397,366,997,659
Estudante_035,866,856,809,871,572,526,634,532,490,555
Estudante_036,543,873,772,304,361,831,734,408,924,523
Estudante_037,804,327,398,402,895,740,746,445,364,332
Estudante_038,430,855,452,495,641,701,607,410,204,326
Estudante_039,784,639,637,649,696,346,548,527,578,305
Estudante_040,320,630,462,346,318,532,465,410,277,803
Estudante_041,466,805,460,568,476,604,780,769,609,998
Estudante_042,573,647,879,669,695,825,634,333,773,577
Estudante_043,687,772,697,405,744,442,841,668,331,250
Estudante_044,615,530,576,419,532,714,405,894,800,228
Estudante_045,313,489,803,357,375,812,862,853,948,661
Estudante_046,541,524,691,645,564,672,380,724,241,495
Estudante_047,645,684,434,773,754,865,432,817,288,496
Estudante_048,864,676,494,416,683,558,437,581,601,925
Estudante_049,639,582,700,426,863,770,483,619,495,978
Estudante_050,391,558,332,692,805,311,700,742,494,606
Estudante_051,666,658,759,357,666,629,629,614,815,968
Estudante_052,754,755,769,812,443,657,807,676,725,812
Estudante_053,727,710,674,395,368,707,368,588,999,604
Estudante_054,808,617,321,417,398,672,845,736,890,545
Estudante_055,334,524,337,859,695,307,352,576,836,821
Estudante_056,505,533,529,787,324,421,749,881,621,619
Estudante_057,380,673,664,536,768,647,504,802,222,381
Estudante_058,861,771,862,571,783,389,425,815,774,200
Estudante_059,687,532,737,488,864,615,342,649,342,766
Estudante_060,301,412,582,746,450,477,410,745,864,570
Estudante_061,689,796,326,880,443,839,482,649,344,860
Estudante_062,865,741,525,546,868,340,394,436,424,630
Estudante_063,405,863,576,375,338,801,673,542,702,508
Estudante_064,776,567,583,453,408,444,819,842,815,336
Estudante_065,701,809,780,734,341,500,659,339,303,401
Estudante_066,855,685,752,385,485,760,580,528,238,635
Estudante_067,461,686,815,584,697,857,494,847,397,512
Estudante_068,501,412,846,519,522,846,494,522,845,316
Estudante_069,569,380,491,368,432,552,392,305,778,865
Estudante_070,570,412,348,346,462,689,360,621,590,774
Estudante_071,755,301,811,393,514,893,350,767,378,443
Estudante_072,761,519,316,752,534,555,702,374,753,736
Estudante_073,551,865,471,503,887,749,304,303,647,801
Estudante_074,595,524,519,517,308,309,765,417,699,274
Estudante_075,637,684,457,773,373,541,833,803,214,585
Estudante_076,352,702,776,731,791,550,704,873,822,409
Estudante_077,516,429,345,640,552,304,812,740,868,674
Estudante_078,487,352,672,850,529,418,532,493,488,617
Estudante_079,679,715,817,588,818,673,823,691,677,546
Estudante_080,792,546,398,553,473,364,645,325,430,728
Estudante_081,340,738,336,656,467,445,345,734,619,839
Estudante_082,456,502,579,322,469,523,845,472,356,962
Estudante_083,314,483,648,821,692,538,377,599,749,378
Estudante_084,364,422,796,399,493,476,372,625,640,381
Estudante_085,820,700,601,479,816,581,548,709,296,863
Estudante_086,643,593,480,522,328,362,346,417,610,224
Estudante_087,428,579,398,741,464,516,420,524,488,379
Estudante_088,771,497,415,624,721,760,513,831,453,909
Estudante_089,362,810,490,815,638,404,538,412,395,700
Estudante_090,438,443,552,315,795,398,355,439,797,360
Estudante_091,798,500,460,635,664,810,649,858,721,376
Estudante_092,892,423,555,557,641,684,406,300,716,484
Estudante_093,691,486,622,796,799,704,347,389,834,262
Estudante_094,718,625,427,459,810,817,872,619,317,861
Estudante_095,588,763,317,774,626,775,636,849,358,865
Estudante_096,678,648,865,679,516,736,325,438,427,355
Estudante_097,789,702,869,844,600,322,556,810,415,668
Estudante_098,530,645,622,726,431,864,307,558,895,248
Estudante_099,340,810,587,567,369,757,552,309,214,283
Estudante_100,327,446,454,876,551,382,602,560,356,560
